;X22_S5;X23_S6;X24_S7;X28_S11;X29_S12;X30_S13;X34_S17;X35_S18;X36_S19;X40_S23;X41_S24;X42_S25;X46_S29;X47_S30;X48_S31;X52_S35;X53_S36;X54_S37;X59_S41;X60_S42;X64_S46;X65_S47;X66_S48;X70_S52;X71_S53;X72_S54;X76_S58;X77_S59;X78_S60;X82_S64;X83_S65;X84_S66;X88_S70;X89_S71;X90_S72;X94_S76;X95_S77;X96_S78;X100_S81;X101_S82;X106_S86;X107_S87;X108_S88;X112_S92;X113_S93;X114_S94
Ancylobacter_Xanthobacteraceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antarctobacter_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aquabacterium_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria;0,026929982;0,024645166;0,025498008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aquamicrobium_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,010402941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aquimonas_Xanthomonadaceae_Xanthomonadales_Gammaproteobacteria_Proteobacteria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arcobacter_Campylobacteraceae_Campylobacterales_Epsilonproteobacteria_Proteobacteria;0,074378046;0,090739019;0,057370518;0;0;0;0;0,005475672;0;0,007841292;0;0,005123161;0;0;0;0;0;0;0;0;0,010370862;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,009764671;0;0;0;0,008451085;0;0;0;0;0
Arenibacter_Flavobacteriaceae_Flavobacteriales_Flavobacteriia_Bacteroidetes;0,007694281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arthrobacter_Micrococcaceae_Micrococcales_Actinobacteria_Actinobacteria;0,029494742;0,048170096;0,025498008;0;0;0;0;0,012046478;0,006964952;0;0,005346621;0;0;0,012616506;0;0,007872652;0;0;0;0;0;0;0;0;0;0;0;0,009918077;0;0;0;0,007024642;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aureimonas_Aurantimonadaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria;0;0;0;0;0;0;0,023716352;0,03285403;0,022287848;0;0,012831892;0,006147793;0;0,007885316;0;0,025192486;0;0;0;0,008472422;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00530368
Azoarcus_Rhodocyclaceae_Rhodocyclales_Betaproteobacteria_Proteobacteria;0;0;0;0;0;0;0,00539008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
